"Match Id","Series Id","Event Name","Map Name","Team 1 Id","Team 1 Name","Team 2 Id","Team 2 Name","Team 1 Score","Team 2 Score","Win Condition","Date","Team 1 Player Ids","Team 2 Player Ids","Total Count"
44793,20971,"VALORANT Champions 2021 - Group Stage","Bind",255,"Gambit Esports",53,"Team Vikings",5,13,"standard","2021-12-04T00:00:00.000Z","[2528,1964,1081,3135,274,2528,1964,1081,3135,274,2528,1964,1081,3135,274,2528,1964,1081,3135,274,2528,1964,1081,3135,274]","[1877,1877,1877,1877,1877,2895,2895,2895,2895,2895,3105,3105,3105,3105,3105,2294,2294,2294,2294,2294,194,194,194,194,194]",71
44792,20971,"VALORANT Champions 2021 - Group Stage","Split",255,"Gambit Esports",53,"Team Vikings",13,6,"standard","2021-12-04T00:00:00.000Z","[2528,274,3135,1964,1081,2528,274,3135,1964,1081,2528,274,3135,1964,1081,2528,274,3135,1964,1081,2528,274,3135,1964,1081]","[194,1877,1877,1877,1877,1877,3105,3105,3105,3105,3105,2895,2895,2895,2895,2895,2294,2294,2294,2294,2294,194,194,194,194]",71
43613,20461,"VALORANT Champions 2021 - Group Stage","Ascent",75,"Team Envy",727,"X10 CRIT",13,7,"standard","2021-12-03T00:00:00.000Z","[2483,398,2841,2716,3211,2483,398,2841,2716,3211,2483,398,2841,2716,3211,2483,398,2841,2716,3211,2483,398,2841,2716,3211]","[671,671,671,671,671,3113,3113,3113,3113,3113,3642,3642,3642,3642,3642,6890,6890,6890,6890,6890,766,766,766,766,766]",71
43612,20461,"VALORANT Champions 2021 - Group Stage","Breeze",75,"Team Envy",727,"X10 CRIT",13,8,"standard","2021-12-03T00:00:00.000Z","[398,3211,2716,2483,398,2841,3211,2716,2483,398,2841,3211,2716,2483,398,2841,3211,2716,2483,398,2841,3211,2716,2483,2841]","[766,766,766,766,6890,6890,6890,6890,6890,671,671,671,671,671,3642,3642,3642,3642,3642,3113,3113,3113,3113,3113,766]",71
44788,20969,"VALORANT Champions 2021 - Group Stage","Fracture",286,"DRX Vision Strikers",1625,"Fnatic",6,13,"standard","2021-12-03T00:00:00.000Z","[2151,452,1251,2151,582,1550,452,1251,2151,582,1550,452,1251,2151,582,1550,452,1251,1550,582,1550,452,1251,2151,582]","[2937,2011,2011,2011,2011,1920,1920,1920,1920,1920,76,76,76,76,76,2937,2937,2937,2011,2937,154,154,154,154,154]",71
44787,20969,"VALORANT Champions 2021 - Group Stage","Haven",286,"DRX Vision Strikers",1625,"Fnatic",13,10,"standard","2021-12-03T00:00:00.000Z","[1550,1251,452,2151,582,1550,1251,452,2151,582,1550,1251,452,2151,582,1550,1251,452,2151,582,1550,1251,452,2151,582]","[2937,2937,2937,2937,2937,1920,1920,1920,1920,1920,2011,2011,2011,2011,2011,154,154,154,154,154,76,76,76,76,76]",71
44786,20969,"VALORANT Champions 2021 - Group Stage","Icebox",286,"DRX Vision Strikers",1625,"Fnatic",10,13,"standard","2021-12-03T00:00:00.000Z","[582,1550,452,3521,1251,582,1550,452,3521,1251,582,1550,452,3521,1251,582,1550,452,3521,1251,582,1550,452,3521,1251]","[76,2937,2937,2937,2937,2937,2011,2011,2011,2011,2011,1920,1920,1920,1920,1920,154,154,154,154,154,76,76,76,76]",71
43610,20460,"VALORANT Champions 2021 - Group Stage","Bind",2597,"Acend",600,"Vivo Keyd",13,3,"standard","2021-12-03T00:00:00.000Z","[3208,691,732,3208,2391,1334,691,732,3208,2391,1334,691,732,2391,1334,691,732,3208,2391,1334,691,732,3208,2391,1334]","[1661,81,81,81,81,81,2901,2901,2901,2901,2901,1661,1661,1661,1661,5288,5288,5288,5288,5288,277,277,277,277,277]",71
43609,20460,"VALORANT Champions 2021 - Group Stage","Icebox",2597,"Acend",600,"Vivo Keyd",9,13,"standard","2021-12-03T00:00:00.000Z","[732,3208,2391,732,691,1334,3208,2391,732,691,1334,3208,2391,1334,732,691,1334,691,3208,2391,732,691,1334,3208,2391]","[2901,81,81,81,5288,5288,5288,5288,5288,1661,1661,1661,1661,81,1661,277,277,81,277,277,277,2901,2901,2901,2901]",71
43616,20462,"VALORANT Champions 2021 - Group Stage","Ascent",976,"KRÜ Esports",224,"Team Liquid",8,13,"standard","2021-12-02T00:00:00.000Z","[1725,2532,3535,4710,4712,1725,2532,3535,4710,4712,1725,2532,3535,4710,4712,1725,2532,3535,4710,4712,1725,2532,3535,4710,4712]","[1403,1403,1403,1403,1403,1690,1690,1690,1690,1690,2056,2056,2056,2056,2056,10211,10211,10211,10211,10211,17788,17788,17788,17788,17788]",71
43615,20462,"VALORANT Champions 2021 - Group Stage","Haven",976,"KRÜ Esports",224,"Team Liquid",5,13,"standard","2021-12-02T00:00:00.000Z","[1725,3535,4712,4710,2532,1725,3535,4712,4710,2532,1725,3535,4712,4710,2532,1725,3535,4712,4710,2532,1725,3535,4712,4710,2532]","[1690,1690,1690,1690,1690,17788,17788,17788,17788,17788,2056,2056,2056,2056,2056,10211,10211,10211,10211,10211,1403,1403,1403,1403,1403]",71
43620,20463,"VALORANT Champions 2021 - Group Stage","Haven",388,"Sentinels",1264,"FURIA Esports",13,9,"standard","2021-12-02T00:00:00.000Z","[724,893,1614,3033,1485,724,893,1614,3033,1485,724,893,1614,3033,1485,724,893,1614,3033,1485,724,893,1614,3033,1485]","[6039,6039,6039,6039,6039,2749,2749,2749,2749,2749,3203,3203,3203,3203,3203,2752,2752,2752,2752,2752,2423,2423,2423,2423,2423]",71
43619,20463,"VALORANT Champions 2021 - Group Stage","Breeze",388,"Sentinels",1264,"FURIA Esports",10,13,"standard","2021-12-02T00:00:00.000Z","[724,1485,3033,893,1614,724,1485,3033,893,1614,724,1485,3033,893,1614,724,1485,3033,893,1614,724,1485,3033,893,1614]","[2749,2749,2749,2749,2749,6039,6039,6039,6039,6039,3203,3203,3203,3203,3203,2752,2752,2752,2752,2752,2423,2423,2423,2423,2423]",71
43618,20463,"VALORANT Champions 2021 - Group Stage","Ascent",388,"Sentinels",1264,"FURIA Esports",13,9,"standard","2021-12-02T00:00:00.000Z","[724,3033,1614,1485,893,724,3033,1614,1485,893,724,3033,1614,1485,893,724,3033,1614,1485,893,724,3033,1614,1485,893]","[2423,6039,6039,6039,6039,6039,3203,3203,3203,3203,3203,2752,2752,2752,2752,2752,2749,2749,2749,2749,2749,2423,2423,2423,2423]",71
